created_at,texts_by_minute,similarity
2022-12-13 01:00:00,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送  0 0 0 月0 0 0 0    ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'rさん 松永さんこんばんは', '', '  ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '始まりました   ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '  ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ' 第0回スタート  番組名 ニッポン放送 creepy nutsのオールナイトニッポン  放送日時 毎週月曜日深夜0 0 0 公式hp     ', '', '', '', '', '', 'しゃあ 今週はバッチリラジオくれぇぇぇぇ  ', '', '', '', '', '', '', '', '', '', '', '', '今年の一文字戦', '', '', '0週間はーやっ ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '犬  ', '', '', '', '', '', '', '']","{'quantile_0': 0.0, 'quantile_1': 0.0, 'quantile_2': 0.0, 'quantile_3': 0.0, 'quantile_4': 0.7176803946495056, 'average_similarity': 0.00023625043817801714, 'size': 31878, 'width_q': 0.0}"
2022-12-13 01:01:00,"['', '今年の漢字は 戰 ', '', '', '', '今年の漢字 戦 ', '', '', '', '', '', '', '戦', '', '', '', '', '', '', '', '', '', '', '', '', '今年の漢字は 戦 ', '', '', '韻', '韻', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポンなう 0 0 0 0 0 0 聴いてる   ', '', '', '', '', '', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', '', '今年の漢字の話題を振られてもここ0 0年くらい韻で凌いできたrさん', '', '', '', '', '韻でしのぐrさんwww ', 'creepy nutsのr 指定さんとdj松永さんで生放送 今夜は0人 今夜も0人 今年の漢字の話から ', '', '', '今年の漢字は戦', '', '', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', 'おっ オープニングは ことしの漢字  ', '今日は起きてる  ', '', '今日ミヤネ屋で観ました', 'rさんここ0 0年は 韻 でしのぐ', '', '戦', ' 韻 でしのぐw ', '', '', '無敵の漢字 韻', '', '', '', 'ラッパーの韻は無敵すぎる 笑', '今年の漢字', '超久々にリアタイ', '', 'チェケラッチョ', '', '', '', '今年の漢字は で韻でしのいでるr皿 擦 る では最悪だと思っている松永', '', '', '', ' 今年の漢字 といえば菅田将暉annを思い出すなあ', '', '', '', '', '', 'ラッパーの 韻 は当たり前なんだわw ', '', '']","{'quantile_0': 0.0, 'quantile_1': 0.0, 'quantile_2': 0.0, 'quantile_3': 0.0, 'quantile_4': 1.0000001192092896, 'average_similarity': 0.025284718832635618, 'size': 5460, 'width_q': 0.0}"
2022-12-13 01:02:00,"['', '', '', '', '', '韻は無敵すぎw ', '今年の漢字 戦 ', '今年の漢字  韻 でしのぐ笑', '', '韻で凌ぐw ', '', '繋', '今年の漢字 戦 ', 'ここ0 0年は 韻 で凌ぐr 指定', '韻でしのぐw ', 'ずっと 韻  ', 'ここ最近は韻', '韻', 'creepy nutsのオールナイトニッポン ニッポン放送     nuts ', '今年の漢字 sixtonesも話してたけど芸能人はみんな聞かれるんですね', '', '', '韻でしのいでるwwww ', '', '', '韻で凌ぐw ', 'ラッパーにとって今年の漢字は 韻 w ', ' 今年の漢字 ', '韻', ' 韻 で凌いでる笑', 'ここ0 0年韻で凌ぐ野上恭平wwwww ', ' 韻 で凌ぐ笑', ' 擦 ', '', 'djを表す漢字 皿  擦 ', '韻', '今年の漢字 韻 rさん最強 皿 松さん ', 'ここ三 四年は一年の漢字 韻 w一生使えるw ', '', ' 皿 ', 'ラッパーは韻', '戦なんだー', '', '', '', ' 韻 と 皿 ', '今年の漢字 韻 でしのぐ', ' 皿  擦 ', 'creepynutsのann  ', '', ' 韻  皿 ', 'ここ0年は韻で凌いできたww ', '今年の漢字 戦 ', ' 皿  擦る  チェケラッチョ  ', 'rさんは 韻 でしのぐ 笑  ', '', '韻', 'リアタイするために仮眠とって準備満タン', '', ' 韻 はズルいw ', '']","{'quantile_0': -0.038654934614896774, 'quantile_1': 0.0, 'quantile_2': 0.0, 'quantile_3': 0.38701438903808594, 'quantile_4': 1.0000001192092896, 'average_similarity': 0.1688490233167782, 'size': 1830, 'width_q': 0.38701438903808594}"
2022-12-13 01:03:00,"['今年の漢字やっぱりきた  ', '今年の漢字 0人はずっと皿と韻', '繋はオフィシャル過ぎる', ' 韻  擦 ', 'rさんの今年の漢字は今後一生 韻 ', '', '生きる 韻', '', '今年の漢字 韻 が毎年wいいなーかっけー  ', '皿と擦る繋ぐ 今日は平和なのね', '今日は出来る限りリアタイするか', '皿と擦る以外でdjを表す漢字とは', '松永さんは松でいいじゃん', '松永さんは 皿  擦 ', '', ' 皿  擦 ', '  韻 で凌いでる ', 'rさん 韻 松永さん 皿 擦 w ', '最初は清水寺の漢字からですねrさんは 韻 いつでも使える 笑 松永さんは 皿  擦  笑 お  繋 も  ', ' 繋ぐ だとピース過ぎる', '', '', 'rさんの今年の漢字はずっと 韻 0年いける  ', 'hip hopというかmcバトル的には戦極の戦だと思うんですがどうでしょう  ', '', '', '今年の漢字韻でしのぐラッパーさてdjは  ', '', '', '皿 擦', 'rさん 今年の漢字はここ0 0年は 韻 でしのいでる 笑', '今年の漢字は韻で乗り切るrさん', '皿 擦 dj ', '出遅れた', 'コーヒー飲んでしまい眠くない リアタイ  ', '', 'クリーピーナッツの今年の漢字は  r 俺はここ数年ずっと 韻 で凌いできた 松 それいいなあ向こう0年くらい使えんじゃん  ', '', ' 繋 ピースすぎる', '今年の漢字指定さん→韻松永さん→皿あとはー  ', '', '繋ぐだとpeaceすぎる', '今夜は寝落ちしそう今年の漢字 戦 からrさん韻生きると同義松永さん擦 皿繋はpeaceすぎるオフィシャル感の不満ww ', '今年の漢字 皿 ', '強気な白紙w ']","{'quantile_0': -0.00021313851175364107, 'quantile_1': 0.0, 'quantile_2': 0.25562581419944763, 'quantile_3': 0.5396649539470673, 'quantile_4': 1.0000001192092896, 'average_similarity': 0.2838444809271922, 'size': 990, 'width_q': 0.5396649539470673}"
2022-12-13 01:04:00,"['真摯に向き合った白紙', '韻 皿 擦 繋 ', '今年の漢字rさん 韻 松永さん 皿  擦  繋 ', '一文字が浮かばない', '', '白紙の哲学', '松永さんを表す漢字  音 だと思ってる', '', '松永 今年の漢字    ', '去年めざましインタビューで ことしの漢字 を聞かれてたふたり 松永は思い浮かばず白紙回答', '白紙回答 哲学  ', '白紙回答は哲学', 'まあまあな時間使って考えるも結局何も思い浮かばず白紙解答だった松永rが書いてくれて何とか', '白紙回答', 'さすがマツさん白紙回答w ', '哲学 ww ', 'タブラ ラサじゃん', '白紙回答は哲学ww ', '', ' 韻 でしのげるrさんと昨年  になってしまった松永さん', '松永さんは 尿 でいいじゃんおしっこネタでたまアリまで行ったんだから', '', '食べながら聴いてます   ', '今年の漢字 白紙回答は哲学', '', '白紙回答哲学w ', '去年のめざましテレビの 今年の漢字 に白紙回答してしまったお松さん', '白紙回答wwwさすが  ']","{'quantile_0': 0.0, 'quantile_1': 0.0, 'quantile_2': 0.3519493192434311, 'quantile_3': 0.6201042979955673, 'quantile_4': 0.999762237071991, 'average_similarity': 0.35058536258324113, 'size': 378, 'width_q': 0.6201042979955673}"
2022-12-13 01:05:00,"['イメージ商売', ' 白紙回答は哲学 ', '白紙回答', '  繋 だとオフィシャル過ぎる   ', '保険で持ってた方がいい あなたの一文字 ', 'その場の人たち全員困惑 白紙回答  ', '今年の漢字大喜利はムズい', '白紙回答は哲学 笑', '白紙は哲学', '', ' 答えは沈黙 的な  ', '空白を想像させた松永さん 笑 めざまし覚えてナイ    ', '', '', '0日を0字で表すって無茶苦茶かも ', '漢', 'お松さんイグナッツでも白紙回答 怖い話しない してたw ', '漢', '', 'まあ 何かしら書かんとダメよね', 'イメージ商売 笑', '漢字の漢', '', '真摯に向かいすぎ', '', 'ヒドイwww ', '真面目なんですね松永さん', '奏とか']","{'quantile_0': -0.11248530447483063, 'quantile_1': 0.0, 'quantile_2': 0.0, 'quantile_3': 0.43442637473344803, 'quantile_4': 0.9999998807907104, 'average_similarity': 0.21611748252614651, 'size': 378, 'width_q': 0.43442637473344803}"
2022-12-13 01:06:00,"['漢真の男', '真摯に向き合った結果なにも思い浮かばない松永さん   笑', '松永さん めざましテレビの取材で白紙回答だったの', '今年の漢字白紙回答は哲学イメージ商売なので', 'ちゃんと向き合うからこそ出ないのかぁ 一瞬だと出たね', '', ' 漢 ', '松永さん真面目だから考え過ぎちゃうんだね', '白紙回答', '', '白紙解答はどうあれ 正直人間が好き', '叺 かます  ', '今浮かぶ漢字は 松永 漢字の 漢  ', 'めざましtvで今年の漢字をインタビューで白紙回答になりかけで事故る寸前ww ', '菅田将暉 今年の漢字なんでもいけるcreepynuts 今年の漢字ぜんぜんいけない', '漢字の 漢  笑', 'ツアーした 埼か玉', '漢 おとこ  ', '漢カッケェ', '漢www ', '取材はちゃんと向き合ってちゃんと思いつかないちゃんと向き合って', '漢字の漢', 'パッと出てくるの漢字の 漢 w ', 'creepy nutsのオールナイトニッポン│ニッポン放送     nuts ', '松永 漢字の 漢  wwwwwwwwwwwwwwwwwwww ', 'さいたまスーパーアリーナお疲れ様でした       creepy nutsの今年の漢字は 埼 か 玉 ']","{'quantile_0': 0.0, 'quantile_1': 0.1771228313446045, 'quantile_2': 0.4862670302391052, 'quantile_3': 0.6546013355255127, 'quantile_4': 0.9680802822113037, 'average_similarity': 0.42109726905822753, 'size': 325, 'width_q': 0.4774785041809082}"
2022-12-13 01:07:00,"['今の漢字漢字の漢 おとこ   ', '漢字の 漢 と書いて  おとこ w ', ' 漢字の 漢  ', 'djをあらわす漢字が皿 擦 以外にあるのか問題について 松 繋  つなぐ  松 ちょっとpeaceすぎるな めざましの取材で聞かれたときはなんと白紙回答してしまったwww ', ' 漢 ww ', '', 'さいたまの埼か たま 笑', '漢字一文字で思いつく漢字 漢 ', '思いついた事から意味付けるのはrさんの真骨頂よね', '真面目だなぁ 松永さん    ', '漢おとこ', '埼玉のたまw ', '松永 俺らって 今年何した    r しましたよ  ツアーとか  ', '埼', '答えることに真摯に向き合い過ぎなんだろうなぁ', '埼玉の 埼  wwwww ', '今年の漢字  埼  玉 ', 'パッと思いついた漢字 漢字の 漢 ww ', ' 漢 笑笑笑笑', '今年はツアーした', '今年の漢字 漢 おとこ  ', '埼玉の 埼 or 玉 笑', '今年の漢字 漢 おとこ  www ', 'うわぁ  懐かしいそれ   ', '俺たち今年何した ツアーしたさいたまスーパーアリーナで 埼玉の埼 玉でもいい', '埼か玉w ', '俺ら今年何してたっけ w ', '玉は大正解なのよ', 'リスナーが漢字送って 松永さんとrさんが理由をこじつけるコーナーやりたい ', '全部に理由付けれる', '今年の漢字  か 漢字の“漢  ', '埼玉の埼玉でもいい', ' 埼  玉 ', '俺らって今年何した ツアーした', 'でもいいってなんだよw ', '俺らって今年なにした  ', '', '懐かしすぎてエモエモ']","{'quantile_0': 0.0, 'quantile_1': 0.29665687680244446, 'quantile_2': 0.48624753952026367, 'quantile_3': 0.6185774207115173, 'quantile_4': 0.9652189612388611, 'average_similarity': 0.4442660170494662, 'size': 703, 'width_q': 0.3219205439090729}"
2022-12-13 01:08:00,"['菅田将暉凄いな 流石だな       ', '菅田さん この時期にしてたなぁなつかしい', 'rさんは 埼玉の埼 ありがとうございます', '自分には 戦 じゃなくて伐採の 伐 にしか見えなかった   ', '懐かしっ', '埼玉の 埼  玉 さすがrさん上手く言葉でフォロー  ', '菅田さん無敵だなー', '出た 菅田将暉の特技 今年の漢字 ', '菅田将暉の特技は どの漢字を言われても全部に理由が言えるby福田さん', ' 埼  玉 でもいいw ', '出た菅田さんの謎の特技', '漢いわゆるr指定', '多分どの漢字にしてもrさんが理由を後付けしてくれると思います笑', '埼玉の埼か玉 笑', '懐かしい あったなあーそのノリ笑', '逆菅田', 'この今年の漢字大喜利菅田将暉がいっちゃん上手いんだよな', 'rさんの模範解答 埼 の答えがラジオスタッフからオッケーが出る', ' 埼玉の 埼    玉 でもいいよ ', '今年の漢字 漢  または 埼 か 玉 ', 'また菅田さんの話題大好きなのね', ' ', '引き継ぐの  ', '確かそんなのあったな', '確かに たまアリは今年の集大成感あったよな   ', '菅田さんのラジオでやってたね懐かしいなぁ', '菅田さんの特技なにそれ笑', 'なんだその菅田の能力wwwww ', 'なつかしいww ', 'いやいや 菅田さんのそんな大したもんじゃないよ笑笑', '今年の英単語笑', 'だぴちすごいなぁアンミカさんみたいだなぁ', ' 今福田さんから教えてもらった 菅田将暉は今年の漢字なに言われても理由つけれんねんて ', 'そういえば菅田くん そんな能力あったな懐かしい', '菅田さんのやつ懐かしいな', 'rさんの閃きスルスル出てすごい', '武道館とたまアリを同年しかも0ヶ月連続って相当だと思うんだけど', ' 玉 でいいじゃんそうだね不気味な金玉だしな ']","{'quantile_0': -0.07764953374862671, 'quantile_1': 0.37460124492645264, 'quantile_2': 0.5861043334007263, 'quantile_3': 0.6978163123130798, 'quantile_4': 0.900474488735199, 'average_similarity': 0.5211541194698587, 'size': 703, 'width_q': 0.3232150673866272}"
2022-12-13 01:09:00,"['菅田さんの今年の漢字芸懐かしいwwwwwwww  ', '菅田さんの今年の漢字の流れ懐かしい笑', '菅田さんは全てに理由を言える特技', '今年の英単語', '菅田さんがやってたなー特技 今年の漢字  ', 'まって やってたなー 菅田さん  なつかしいー  って声出たあああ恋しい ', '', '菅田くん 凄いな', '', '確かに凄かったけど', '菅田さんの特技懐かしいwww ', '今年の英単語w ', '菅田くんの特殊能力www ', '菅田将暉はなんでもこじつけれる', 'めっちゃ思ったwww菅田将暉annトーク思い出した', '', 'それ結構フリースタイルに必要な能力よね菅田いけるんか', '何を言われてもその理由を言える特技を持つ菅田将暉', 'こじつけ能力草', '松俺らって今年何してた 漢字のために振り返るさいたまスーパーアリーナやった 埼 rさんはどんどん言葉が出てくる菅田将暉も同じ才能あり 英語でもイケル', ' ぜんぶに理由をこじつけれる ', 'しゅだぴの特殊能力懐かしい  ', 'そんなしっかりやってないよ', '松 バカだ ', '菅田さんの特技あったなぁ 何でも理由つけられるやつ ', '菅田さんの特技懐かしいなww ', '菅田さんの特技だったのか  バカだ 松おーい    笑  ', 'バカだww ', 'できるじゃんr ', '菅田さんのこの流れ懐かしいなぁw ', '菅田さんのやつ懐かしい', ' 埼 or 玉  ずっとじゃね  ', '菅田将暉 すごい', '菅田将暉の特技 今年の漢字 福田メモ 漢字は出てこない  r 漢字は 聞かれても漢字は出てこないんや 松 バカだ ああ バカなんだ ', '菅田さんの懐かしww ', '0人とも色んな意味でバカでかいニュースあったし アルバムの新鮮さは過去0 ', '菅田将暉来てくれねぇかなぁ  ', 'summerの理由    lll oo  スゲェ   ', '今年の英単語', '', '菅田将暉の今年の漢字懐かしい   ', 'しゅだぴち漢字説明くん懐かし', '今年の英語今年の英単語でもいける菅田将暉', 'あったなーその能力ww ', '今年の英単語w ']","{'quantile_0': 0.0, 'quantile_1': 0.33235863596200943, 'quantile_2': 0.5022544860839844, 'quantile_3': 0.639786422252655, 'quantile_4': 1.0, 'average_similarity': 0.4538231116051626, 'size': 990, 'width_q': 0.3074277862906456}"
2022-12-13 01:10:00,"['', 'あら ツアーファイナルの話してくれたのかなこれは  そういうことにしよ 埼やら玉やら  ', '漢字で一言やんけ', 'さすがしゅだぴち', '懐かしいww確かに菅田将暉もやってたww今年の漢字w  ', '勉強できないかしこ', '', 'それでいいんだw ', '', '山  ', '', '', '菅田さん特技懐かしい', '国王 真面目に今年の漢字考えてください', ' ', ' 英語もいける ', '菅田さんの特技 凄いなぁ', '', '今年の英単語www ', 'いやでもかしこやで あの高校は', '菅田くんの話嬉しすぎる', 'rさん賢だ       ', 'rさん カシコ', 'もぉ 次のspwは菅田さん呼ぼうよw ', 'あー 本当に懐かしいなあ私のラジオ人生 お芝居大好き人生は菅田さんのannから始まったんだ ', '菅田のこじつけ能力高い と思っていたけど漢字は出来ない だけど英語はできる 謎 ', '何かゲームが始まったw ', '', '今年の英単語  今年の  に理由つけるのrさん絶対得意だよね', 'すげえrさん', '菅田くんの漢字のやつ懐かしい', '今年の英単語w ', 'rさんこじつけ上手いでしょう', 'まじでもうすぐ番組終了から0年だし菅田将暉ann特番期待しちゃう時期に差しかかるなぁ', '英単語もいけるww ', 'がんばれ松永さん もうちょい頑張ってこじつけていこ  rさん見倣って         و', 'summer summer  ']","{'quantile_0': 0.0, 'quantile_1': 0.0, 'quantile_2': 0.23825769126415253, 'quantile_3': 0.5553722679615021, 'quantile_4': 0.9167095422744751, 'average_similarity': 0.2801268881259559, 'size': 666, 'width_q': 0.5553722679615021}"
2022-12-13 01:11:00,"['rさん summer 凄い   さすがだな   出てきますね    ', '漢字ドリルではばか', '今年の英単語 summer ', '山新幹線から沢山見た邦さん  ', 'あれから0年 その芸はちゃんと継承されてます    ', '富士山が見えた思い出修学旅行かな  ', 'いくつか用意しておくといいのかも', 'rさんのこじつけ力', 'rさん模範解答 夏も良かった  ', '今年の英語 やってた 確かにやってた 菅田さんの特技 懐かしいなーベスト0言うのとかも懐かしいなー', 'なら 頂 では w ', 'rさん繋げるの上手すぎるって 笑笑', '', '山東海道新幹線によく乗る富士山が見えたなという思い出音楽という山を登っている途中', 'すごいなrさん', '山 ガンバレ 松永さん', '', 'rさんもいけてる', 'なんか卒論の想定質問対策を思い出してシンドくなってきた ', '月曜0部の引き継ぎ 紳士たれ から0ヶ月の時を経て 特技 今年の漢字 が引き継がれ始めた', 'rさんの添削すごい ', 'rさん流石summerからの流れ 完璧   ', 'あーるさんのこじつけ能力の天才ぶりすごい', '', 'やっぱ松永さんの聞くとrさん上手かった笑', 'rさんの答え方が数学の定理の説明みたいでめっちゃ丁寧だったww ', 'また菅田将暉の今年の漢字なんでもいけるやつ聞きたいな', '東海道新幹線', '突然のsummer ', '', 'なんか薄いよ ', 'rくん 天才やわ ', '松永チャレンジ 山東海道新幹線よく乗るんです 富士山よく観たなー ', ' 山 山なんですよね あのー よく乗るのが東海道新幹線 窓見ると山が 富士山が見えたなって思い出がありました  ', 'rさんも漢字も英単語もこじつけイケるぢゃん', '東海道新幹線好きね笑', ' 山 よく乗る東海道新幹線富士山がよく見えたな', '静岡横に長いから   ', 'すげえええええぇ', '松永さん全然賢じゃないな笑笑']","{'quantile_0': -0.04290532320737839, 'quantile_1': 0.09001252986490726, 'quantile_2': 0.5097701251506805, 'quantile_3': 0.6587923914194107, 'quantile_4': 0.8946185111999512, 'average_similarity': 0.4174806204209558, 'size': 780, 'width_q': 0.5687798615545034}"
2022-12-13 01:12:00,"['新幹線の話しかないw ', 'rさんこじつけ天才じゃん', 'rさん天才  ', '松永さん 東海道新幹線とお茶と窓大好きかww       ', '東海道新幹線から窓見る話ばっかり笑', '今年の英単語は  summer制作したアルバムの中から二曲を夏フェスでやった時に確かな感触を得たから', '東海道新幹線縛りなのw ', '今年の英語って何 でも それで答えられるさすが菅田くんまた ゲストに来て欲しいな', '', 'rさん模範回答', '菅田さんと聖徳太子今年の漢字スタイルしてほしい ', 'rさんうますぎない   ', 'rさん相変わらず語彙力が凄いなぁ', 'もはや漢字じゃないサマー漢字に弱いから単語に振り替えたrさんこじつけというか 説得力さすがやわぁエピソードと感情を組み込む なる', 'フリースタイル今年の漢字スタイル爆誕wwwwww ', '例えが 山 松永さんのこじつけも頑張った それ以上を出してくるrさん  凄い能力   ', '松永さん真正面から向き合いすぎるんだろうな', 'まじで菅田さんと全く同じゲームしてるやん笑', '富士山見えたなって思い出がありまして薄っwww ', '静岡ばっかりww ', 'インタビューというより面接感ある', 'rさん面接強いんだろうな', '0問目  茶  ', ' ', 'さすがフリースタイル王', 'rさん凄い 笑  ', '松永さんの喋り方が小学生の夏休みの作文みたいでかわいい    ', '今年 新幹線の思い出しか無いのかw ', 'さすがrさん  ', 'こじつけはrさんの右に出る者居ないだろ多分 完全にmcバトルのスキルだろうがよ ', '菅田ぴちすげぇ', '松永さんの浅いやつも好きだよ笑', '出身地ディスられてる  お茶煮出したらアカンよ', '今年は東海道線新幹線をたくさん乗って 山いっぱい見ました 小学生の作文感笑 ', '漢字一文字フリースタイルバトルだ', ' rさん さすが 何でもいける', 'rさんすごいな', '東海道新幹線しか記憶にないのか笑', '松永 あのー 東海道新幹線が ', 'また東海道新幹線w ', 'rさん凄すぎひん 本当に教祖様誕生しそう松永さんは教徒でいよ笑', 'rさん上手すぎるし 松永さんは下手すぎるw ', '松永さん東海道新幹線大好きじゃん', 'こじつけの才能 ', 'なんかゲームがはじまった', '東海道新幹線から逃れられない松永さん', '面接練習してるのか     ', ' 茶 東海道新幹線 笑  ', 'こじつけ感www ', 'rさんのフォロー能力すごすぎる', 'rさん 話の肉付け方が凄すぎる', '東海道新幹線ver 0 ', '東海道新幹線からじゃないとダメなの 笑', 'rさん特技に追加で  ', 'こいつの0年の思い出東海道新幹線だけやんwwwww ', '静岡ばっかりw ', '松永さん理由が全部東海道新幹線wwwwwww ', 'rさんの頭の回転よ ほぼラップ', 'rさんもこじつけ上手松 そりゃ優勝するわこの人 ', 'rさんうんま  ', 'rさん 松永さん ちょっとナニ言ってるかわかんない', 'rさん天才的だなぁ ', 'rさん凄すぎ', 'r 音楽という山の頂  上手すぎる松 そりゃ優勝するわこの人  ', 'すぐ隣にプロがいた ']","{'quantile_0': -0.0921994000673294, 'quantile_1': 0.30508188158273697, 'quantile_2': 0.4965791702270508, 'quantile_3': 0.6493990421295166, 'quantile_4': 0.9766600131988525, 'average_similarity': 0.4625456779135185, 'size': 2080, 'width_q': 0.34431716054677963}"
2022-12-13 01:13:00,"['松永さんよく乗るのが東海道新幹線だから今年の漢字は 山 ', '新幹線から山がいっぱい見えたからww ', '特に梅田サイファーにはこの手の遊び上手い人多そうやわw ', '松永さんの 茶 あのー  東海道新幹線 静岡通るんすよ  静岡といえばお茶だなとか 思いながら 窓を見るんですね ', '菅田さんの今年の漢字フリースタイル触れてくれてる懐かしいな', '東海道新幹線   じゃないねん  ', 'いつか菅田さん呼んで 今年の漢字王決定戦 やろうよ  ', '茶', '東海道新幹線ばっかりで草', '菅田将暉そろそろ月曜0部ゲスト来いよ年末になったから特技 今年の漢字 やってくれよアバター公開されそうだから来てくれよ頼むよ', 'まつながさんに添削出来ちゃうあーるさん天才だな', '茶東海道新幹線静岡通るんすよ静岡といえばお茶だなと思いながら窓を見るんですねその時に思ったのがお茶の葉のように煮出して味が出るそんな楽曲を作っている 煮詰まることもある 才能がカラカラに枯れてしまったのかと思うことがある芽を摘むことが仕事なのかな', '結局rさんがフォローしてんじゃんwww ', '同年代 菅田 松永 r が月曜0時に変な特技を継承してる', 'ノリ付け足すwww ', '東海道新幹線 万能 ', '東海道新幹線好きすぎ笑', 'もうrさんいないとダメじゃんw ', '年一でしか使えない特技 今年の0文字 ', 'そりゃ0連覇しますわ   ', 'rさんすごいw ', '富士山 茶静岡のことばっかりありがとう ', 'あーるさんさすがうっっまwww ', '最早もう今年の漢字静か岡にしろよww ', '東海道線新幹線乗るんですよ 静岡通るんですよ 静岡といえばお茶だなって ', 'rさんすげえww ', '全部東海道新幹線ずっと窓の外を見てるしwww ', '', '東海道新幹線から逃げれない', '上手だほんと', 'rさんすごすぎる 面接得意なんだろうな ', '結論 rさんと菅田さんは凄い 松永さんには無理だし東海道新幹線から逃げられない  ', 'r劇場じゃんw ', '東海道新幹線から逃げられないなぁ', 'お松さんの薄い説明にrさんが味付け追加するの凄い 笑  ', '東海道新幹線 0度目  ', '俺じゃ無理だ r すごすぎるって', 'rさんすごすぎゴンフィンガーです', '菅田vs rやろうよ', '松永くん 逆に東海道新幹線にこじつけられるんじゃない  ', 'rさん上手すぎて怖いwwww ', '東海道新幹線好きやなwww ', '芽を摘むことが うますごすぎるって', 'あーるさん大得意分野じゃん', 'rさん流石やわあ', 'rさんさすが頭の回転が速い', '福田さんありがとうらぶ  ', 'rさんも凄いし菅田さんも凄い', 'こじつけ練習お題は 山 松移動で富士山見たr山を登るように 茶 松東海道新幹線で静岡通るんですr煮出す 新鮮なことの積み上げ松さん目の前のことしか言えません', '静岡の茶 うれしー']","{'quantile_0': -0.0766904354095459, 'quantile_1': 0.3159806728363037, 'quantile_2': 0.4885026812553406, 'quantile_3': 0.6376268863677979, 'quantile_4': 0.901554524898529, 'average_similarity': 0.45880412493585326, 'size': 1225, 'width_q': 0.32164621353149414}"
